,state,code,census_region,census_region_div,elec_total_kwh_mean,fips,incentive_count
0,Alabama,AL,Southeast,East South Central,15645.62575,01,67
1,Alaska,AK,West Coast,Pacific,8565.961689,02,34
2,Arizona,AZ,West,Mountain South,12692.95287,04,107
3,Arkansas,AR,Southwest,West South Central,15475.98708,05,55
4,California,CA,West Coast,Pacific,8565.961689,06,389
5,Colorado,CO,West,Mountain South,12692.95287,08,206
6,Connecticut,CT,Northeast,New England,8415.681173,09,139
7,Delaware,DE,South,South Atlantic,14175.7713,10,57
8,District of Columbia,DC,South,South Atlantic,14175.7713,11,34
9,Florida,FL,South,South Atlantic,14175.7713,12,173
10,Georgia,GA,South,South Atlantic,14175.7713,13,95
11,Hawaii,HI,West Coast,Pacific,8565.961689,15,54
12,Idaho,ID,West ,Mountain North,9585.731684,16,66
13,Illinois,IL,Midwest,East North Central,9746.464217,17,128
14,Indiana,IN,Midwest,East North Central,9746.464217,18,113
15,Iowa,IA,Midwest,West North Central,12678.20561,19,106
16,Kansas,KS,Midwest,West North Central,12678.20561,20,42
17,Kentucky,KY,Southeast,East South Central,15645.62575,21,92
18,Louisiana,LA,Southwest,West South Central,15475.98708,22,46
19,Maine,ME,Northeast,New England,8415.681173,23,47
20,Maryland,MD,South,South Atlantic,14175.7713,24,134
21,Massachusetts,MA,Northeast,New England,8415.681173,25,180
22,Michigan,MI,Midwest,East North Central,9746.464217,26,142
23,Minnesota,MN,Midwest,West North Central,12678.20561,27,214
24,Mississippi,MS,Southeast,East South Central,15645.62575,28,41
25,Missouri,MO,Midwest,West North Central,12678.20561,29,99
26,Montana,MT,West ,Mountain North,9585.731684,30,62
27,Nebraska,NE,Midwest,West North Central,12678.20561,31,36
28,Nevada,NV,West,Mountain South,12692.95287,32,53
29,New Hampshire,NH,Northeast,New England,8415.681173,33,70
30,New Jersey,NJ,Northeast,Middle Atlantic,8970.632557,34,86
31,New Mexico,NM,West,Mountain South,12692.95287,35,73
32,New York,NY,Northeast,Middle Atlantic,8970.632557,36,181
33,North Carolina,NC,South,South Atlantic,14175.7713,37,142
34,North Dakota,ND,Midwest,West North Central,12678.20561,38,27
35,Ohio,OH,Midwest,East North Central,9746.464217,39,104
36,Oklahoma,OK,Southwest,West South Central,15475.98708,40,54
37,Oregon,OR,West Coast,Pacific,8565.961689,41,195
38,Pennsylvania,PA,Northeast,Middle Atlantic,8970.632557,42,108
39,Rhode Island,RI,Northeast,New England,8415.681173,44,59
40,South Carolina,SC,South,South Atlantic,14175.7713,45,88
41,South Dakota,SD,Midwest,West North Central,12678.20561,46,42
42,Tennessee,TN,Southeast,East South Central,15645.62575,47,83
43,Texas,TX,Southwest,West South Central,15475.98708,48,205
44,Utah,UT,West,Mountain South,12692.95287,49,58
45,Vermont,VT,Northeast,New England,8415.681173,50,101
46,Virginia,VA,South,South Atlantic,14175.7713,51,102
47,Washington,WA,West Coast,Pacific,8565.961689,53,211
48,West Virginia,WV,South,South Atlantic,14175.7713,54,19
49,Wisconsin,WI,Midwest,East North Central,9746.464217,55,149
50,Wyoming,WY,West ,Mountain North,9585.731684,56,47