group,Single-pane tempered glass (4 mm thickness),"Single-pane tempered glass
(6 mm thickness)","Double-pane tempered glass (4 mm thickness)
(8 mm Gap)+Argon","Double-pane tempered glass (4 mm thickness)
(8 mm Gap)+air","Double-pane clear glass (4 mm thickness)
(8 mm Gap) +Air","Double-pane clear glass + Air (4 mm thickness)
(10 mm Gap)","Double-pane clear glass + Air (4 mm thickness)
(12 mm Gap)","Double-pane clear glass + Air (6 mm thickness)
(8 mm Gap)","Double-pane tempered glass (4 mm thickness)
(8 mm Gap)+Krypt","Double-pane clear glass (4 mm thickness)
(8 mm Gap)+Krypt","Double-pane clear  glass + Krypt (4 mm thickness)
(10 mm Gap)","Double-pane clear  glass + Krypt (4 mm thickness)
(12 mm Gap)","Double-pane clear  glass + Krypt (6 mm thickness)
(8 mm Gap)"
coolingLoad,0.998808673,1,0.003983798,0,0.087691208,0.093543007,0.09790803,0.163164165,0.009044556,0.109754587,0.112909221,0.114986895,0.184417441
heatingLoad,1,0.994765161,0.033842044,0.056067641,0.060803481,0.047122853,0.037121179,0.079223049,0.00701078,0.010420089,0.00370375,0,0.030547411
totalCostWindow,0,0.00446577,0.055642408,0.055119175,0.019494802,0.021164694,0.022834587,0.027844264,0.862790502,0.827166129,0.909547491,1,0.835515591